id_category,name
1,accounting-business-and-finance
2,air-purifiers
3,appliances
4,audio-accessories
5,bags-and-cases
6,baking
7,batteries-and-chargers
8,batteries
9,beauty-and-skin-care
11,cables-and-accessories
14,camping-and-barbeques
15,cases
16,cd-dvd-and-blu-ray-drives
17,cleaning-products
18,coffee-accessories
19,coffee-machines
20,computer-memory
21,consoles
22,cookers
23,cooking
24,creation-and-editing-software
26,dehumidifiers
27,desktops
28,dictaphones
29,dishwashers
30,e-learning
31,electric-blankets
32,electric-toothbrushes
33,electric-vehicle-accessories
34,ereader-cases
35,ereaders
36,external-hard-drives
37,fitness-trackers
39,food-and-drink-storage
40,food-and-kitchen-prep
41,food-mixers
42,food-processors
43,freezers
44,fridge-freezers
45,fridges
46,gaming-desktops
47,gaming-furniture
48,gaming-laptops
49,gaming-merchandise
50,gaming-monitors
51,garden-equipment-tools
52,graphics-cards
53,graphics-tablets
55,hair-dryers
56,hair-stylers
57,hard-drive-enclosures
58,headphones
59,headsets-and-microphones
60,headsets
61,health-fryers
62,heating-and-cooling
63,heating
64,hobs-built-in
65,home-cables-and-adaptors
66,home-cinema-systems-and-soundbars
68,hoods
69,internal-hard-drives
70,internet-security-and-antivirus
71,irons
72,juicers-and-blenders
73,kettles
74,keyboard
75,keyboards
76,labelling-machines
77,ladies-hair-removal
78,laminators
79,laptop-bags-and-cases
80,laptops
81,lenses
82,lighting
83,memory-cards
84,mens-grooming
85,mice-and-keyboard-packages
86,mice
88,microwaves
90,motherboards
92,musical-instruments
93,network-switches
94,operating-systems
95,optics
96,ovens-built-in
97,paper
98,pc-fans-and-coolers
99,pc-games
100,pc-monitors
101,pc-optimisation-software
102,pc-speakers
103,personal-cd-players
104,phone-accessories
105,power-and-cables
106,power-supplies
107,power-tools
108,powerline
110,printer-cartridges
111,printer-paper
112,printers
113,processors
114,projector-accessories
116,remote-controls
118,routers
119,sat-nav-accessories
120,sat-nav
121,scanners
122,security-cameras-and-cctv
123,sewing-machines
124,shredders
125,smart-fitness-accessories
126,smart-health
127,smart-toys-and-gadgets
128,smart-watches
129,solid-state-hard-drives
130,speakers
131,steam-cleaners
132,streaming-equipment
133,surface-cleaners
134,swimming-pools-and-accessories
135,tablet-accessories
136,tablet-cases-and-keyboards
137,tablets
138,toasters
139,tower-cases
140,travel-accessories
142,tumble-dryers
144,tv-aerials
145,tv-stands
147,tvs
148,usb-flash-drives
149,vacuum-accessories
151,vr
152,washer-dryers
153,washing-machines
154,webcams
155,wellbeing
156,whole-home-wi-fi-systems
157,wifi-range-extenders
158,wireless-adapters.
159,wireless-adapters
